"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"44","","","V2","C","0","00:00:00:00","00:00:00:00","01:38:44:00","01:43:48:07","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 19","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"45","","","V2","C","0","00:00:00:00","00:00:00:00","01:43:48:07","01:44:36:22","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 20","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"46","","","V2","C","0","00:00:00:00","00:00:00:00","01:44:36:22","01:44:50:39","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 21","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"47","","","V1","C","","00:45:10:09","00:45:15:08","01:44:39:22","01:44:44:19","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"48","","","A1","C","","00:45:10:09","00:45:15:08","01:44:39:22","01:44:44:19","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"49","","","V1","C","","00:45:15:08","00:52:39:20","01:44:44:19","01:52:08:44","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"50","","","A1","C","","00:45:15:08","00:52:39:20","01:44:44:19","01:52:08:44","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
